"idclient","idcompany","idmember","idaccount","idcategory","defaultcategory","period_yyyymm","monthly_total"
1,"52","101558",INT5,Other,Other,"2025-10",1950.00
1,"52","101558",INT4,Other,Other,"2025-10",17646.16
1,"52","101558",INT87741,Other,Other,"2025-10",430.26
1,"52","101558",INT87741,Other,Other,"2025-09",526.68
1,"52","101558",INT4,Other,Other,"2025-09",12315.16
1,"52","101558",INT5,Other,Other,"2025-09",6958.90
1,"52","101558",INT5,Other,Other,"2025-08",946.89
1,"52","101558",INT4,Other,Other,"2025-08",10475.56
1,"52","101558",INT87741,Other,Other,"2025-08",733.32
1,"52","101558",INT87741,Other,Other,"2025-07",1780.81
1,"52","101558",INT4,Other,Other,"2025-07",10737.18
1,"52","101558",INT5,Other,Other,"2025-07",894.53
1,"52","101558",INT5,Other,Other,"2025-06",3003.04
1,"52","101558",INT4,Other,Other,"2025-06",12965.70
1,"52","101558",INT87741,Other,Other,"2025-06",1952.80
1,"52","101558",INT5,Taxes & fees,Taxes & fees,"2025-06",10.00
1,"52","101558",INT5,Other,Other,"2025-05",1313.82
1,"52","101558",INT87741,Other,Other,"2025-05",3363.48
1,"52","101558",INT4,Other,Other,"2025-05",10137.89
1,"52","101558",INT87741,Transfers & payments,Transfers & payments,"2025-05",2.00
1,"52","101558",INT87741,Auto & transport,Auto & transport,"2025-04",213.00
1,"52","101558",INT87742,Other,Other,"2025-04",313.95
1,"52","101558",INT87743,Other,Other,"2025-04",513.67
1,"52","101558",INT82322,Other,Other,"2025-04",415.00
1,"52","101558",INT87741,Other,Other,"2025-04",1002.59
1,"52","101558",INT4,Other,Other,"2025-04",4765.66
1,"52","101558",INT5,Other,Other,"2025-04",11219.72
1,"52","101558",INT454671,Other,Other,"2025-04",213.00
1,"52","101558",INT5,Other,Other,"2025-03",863.25
1,"52","101558",INT4,Other,Other,"2025-03",10025.25
1,"52","101558",INT87743,Other,Other,"2025-03",392.38
1,"52","101558",INT87742,Other,Other,"2025-03",879.28
1,"52","101558",INT87741,Other,Other,"2025-03",665.38
1,"52","101558",INT87743,Other,Other,"2025-02",397.65
1,"52","101558",INT87741,Other,Other,"2025-02",2191.68
1,"52","101558",INT87742,Other,Other,"2025-02",645.59
1,"52","101558",INT4,Other,Other,"2025-02",10740.06
1,"52","101558",INT5,Other,Other,"2025-02",1421.67
1,"52","101558",INT5,Other,Other,"2025-01",1072.60
1,"52","101558",INT4,Other,Other,"2025-01",12897.88
1,"52","101558",INT87743,Other,Other,"2025-01",1167.25
1,"52","101558",INT87742,Other,Other,"2025-01",3284.22
